DATE,LOCAL.TIME..SENSOR.,COUNTLINENAME,DIRECTION,CAR,PEDESTRIAN,CYCLIST,MOTORBIKE,BUS,OGV1,OGV2,LGV,DAY
2021-05-25T00:00:00Z,2021-05-25T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,4,127,2,0,0,0,0,0,Tue
2021-05-25T00:00:00Z,2021-05-25T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,3,378,18,3,0,0,0,0,Tue
2021-05-25T00:00:00Z,2021-05-25T01:00:00Z,LBS15_ButterHill_Road_S53,in,2044,48,99,34,2,6,0,487,Tue
2021-05-25T00:00:00Z,2021-05-25T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,0,211,20,0,0,1,0,0,Tue
2021-05-25T00:00:00Z,2021-05-25T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,161,3,0,0,0,0,0,Tue
2021-05-25T00:00:00Z,2021-05-25T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,354,5,2,0,0,0,0,Tue
2021-05-25T00:00:00Z,2021-05-25T01:00:00Z,LBS15_ButterHill_Road_S53,out,1818,21,73,36,18,6,1,292,Tue
2021-05-26T00:00:00Z,2021-05-26T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,4,181,15,1,0,0,0,2,Wed
2021-05-26T00:00:00Z,2021-05-26T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,2,88,2,2,0,0,0,1,Wed
2021-05-26T00:00:00Z,2021-05-26T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,8,342,13,2,0,0,0,0,Wed
2021-05-26T00:00:00Z,2021-05-26T01:00:00Z,LBS15_ButterHill_Road_S53,in,2055,65,103,48,5,6,0,421,Wed
2021-05-26T00:00:00Z,2021-05-26T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,2,194,13,3,0,0,0,0,Wed
2021-05-26T00:00:00Z,2021-05-26T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,143,5,0,0,0,0,0,Wed
2021-05-26T00:00:00Z,2021-05-26T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,317,8,1,0,0,0,0,Wed
2021-05-26T00:00:00Z,2021-05-26T01:00:00Z,LBS15_ButterHill_Road_S53,out,1900,26,98,35,16,6,0,270,Wed
2021-05-27T00:00:00Z,2021-05-27T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,1,230,16,0,0,0,0,0,Thu
